,Object_Description,Program_Description,SubFund_Description,Job_Title_Description,Facility_or_Department,Sub_Object_Description,Location_Description,FTE,Function_Description,Position_Extra,Text_4,Total,Text_2,Text_3,Fund_Description,Text_1
98115,Reading Materials including Library Books,Undistributed,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,Instructional Resource & Media Services,NaN,NaN,5.00E+03,NaN,NaN,General Fund,NaN
447134,Travel And Subsistence - Employee Only,Undistributed,NaN,NaN,Instruction And Curriculum,Travel And Subsistence - Employee Only,School,NaN,Curriculum Development And Instructional Staff Dev,NaN,Undistributed,7.63E+02,NaN,NaN,Title Iv Part B  Century Community Learning Ce,NaN
234566,Other Miscellaneous,NaN,Support Services - Instructional Staff,NaN,NaN,Other Miscellaneous Expenditures *,NaN,NaN,Instructional Staff Training Services *,NaN,NaN,-5.65E+02,NaN,NaN,Title I - Disadvantaged Children/Targeted Assistance,TITLE I SCHOOL IMPROVEMEN
38495,Equipment Maintenance Repairs,Undistributed,NaN,NaN,NaN,General,School,NaN,Food Services,NaN,NaN,1.90E+03,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
77420,Personal Services - Extended Contracts,Principal's Office,NaN,NaN,NaN,NaN,NaN,0,NaN,Career Ladder I/Ext Learning,Office of Principal,4.67E+02,NaN,NaN,General Purpose School,NaN
23133,NaN,NaN,LOCAL,"EDUCATIONAL AIDE,SPED,70H",NaN,NaN,NaN,0.875,NaN,NaN,NaN,3.17E+04,EARLY CHILDHOOD EDUCATION,NaN,NaN,NaN
100255,Salaries for Support Personnel,Undistributed,NaN,CUSTODIAN I,NaN,General,School,1,Plant Maintenance & Operations,NaN,NaN,2.90E+04,NaN,NaN,General Fund,NaN
381219,Salaries for Support Personnel,Special Education,NaN,TCHR ASST- SP E,NaN,General,Center,1,Instruction,NaN,NaN,2.89E+04,NaN,NaN,General Fund,NaN
184879,Professional Salaries,Bilingual Education,NaN,T-EL 2ND ESL,NaN,General,School,1,Instruction,NaN,NaN,5.25E+04,NaN,NaN,General Fund,NaN
64502,Professional Salaries,Special Education,NaN,LSSP,NaN,General,Special Ed Evaluation Services,1,"Guidance, Counseling and Evaluation Services",NaN,NaN,6.06E+04,NaN,NaN,General Fund,NaN
70141,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,Elementary Spec Ed Para,NaN,NaN,NaN,NaN,NON-PROJECT,UNDESIGNATED,NaN,-8.31E+01,NaN,n/a,NaN,EMPLOYEE BENEFITS
360477,Salaries for Support Personnel,Undistributed,NaN,DATA MGMT I,NaN,General,Office of Program Evaluation,0.65,"Guidance, Counseling and Evaluation Services",NaN,NaN,3.68E+04,NaN,NaN,General Fund,NaN
215022,Employee Allowance,Undistributed,NaN,CELL PHONE,NaN,Mobile Phone,Assoc Superintendent-Area,NaN,Instructional Leadership,NaN,NaN,5.24E+02,NaN,NaN,General Fund,NaN
118543,EMPLOYEE BENEFITS,TRANSPORTATION-OPERATIONS,GENERAL FUND,Bus Driver  to  Yrs,NaN,NaN,GARAGE,NaN,NON-PROJECT,"CRAFTS, TRADES, AND SERVICES",NaN,9.48E+02,TRANSPORTATION,n/a,NaN,STUDENT TRANSPORTATION
352572,OTHER SUPPLIES,INSTRUCTIONAL STAFF TRAINING,FEDERAL GDPG FUND - FY,(blank),NaN,NaN,FEDERAL PROG-PRIVATE SCHOOL,NaN,TITLE I,UNDESIGNATED,NaN,7.18E+01,GRANTS MANAGEMENT,NaN,NaN,INSTRUCTIONAL STAFF
18378,SALARIES OF REGULAR EMPLOYEES,GENERAL K-8 EDUCATION,FEDERAL GDPG FUND - FY,"Teacher, Intervention",NaN,NaN,NaN,0.37501,TITLE I,PROFESSIONAL-INSTRUCTIONAL,NaN,2.91E+04,NaN,Regular,NaN,REGULAR INSTRUCTION
410010,Career Ladder,Bilingual Education,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,1.64E+03,NaN,NaN,General Fund,NaN
37080,SALARIES OF PART TIME EMPLOYEE,INSTRUCTIONAL STAFF TRAINING,GENERAL FUND,"Teacher, Short Term Sub",NaN,NaN,NaN,0.00431,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,1.10E+02,NaN,Regular,NaN,INSTRUCTIONAL STAFF
106707,Other General Supplies,NaN,Community Services,NaN,NaN,General Supplies *,NaN,NaN,Other Community Services *,NaN,NaN,-6.45E+01,NaN,NaN,Title I - Disadvantaged Children/Targeted Assistance,TITLE I PARENT-PUBLI
91199,Salaries And Wages For Substitute Professionals,Basic Educational Services,Operations,TEACHER SUBSTITUTE POOL,All Campus Payroll,Salaries And Wages For Substitute Teachers,Undistributed,NaN,Instruction,CERTIFIED SUBSTITUTE,Basic Educational Services - District Objective,4.45E+02,NaN,NaN,General Operating Fund,REGULAR PAY
394140,Professional Salaries,Basic Educational Services,NaN,MATH,NaN,General,School,1,Instruction,NaN,NaN,5.25E+04,NaN,NaN,General Fund,NaN
400865,General Supplies,Basic Educational Services,NaN,NaN,NaN,Music Lab,School,NaN,Instruction,NaN,NaN,1.90E+02,NaN,NaN,General Fund,NaN
202031,Salaries for Support Personnel,Undistributed,NaN,FOOD PROD SP II,NaN,General,School,0.5,Food Services,NaN,NaN,NaN,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
22089,Field Trips,Basic Educational Services,NaN,NaN,NaN,Band,School,NaN,Instruction,NaN,NaN,1.00E-01,NaN,NaN,General Fund,NaN
171902,Salaries for Support Personnel,Undistributed,NaN,SFTY SYSTM FRMN,NaN,General,District Police,1,Security & Monitoring Servicess,NaN,NaN,6.53E+04,NaN,NaN,General Fund,NaN
221962,Miscellaneous Operating Costs,Undistributed,NaN,NaN,Magnet Program Administration,Food - Working Lunches,Unallocated,NaN,Instructional Leadership,NaN,Undistributed,1.34E+02,NaN,NaN,General Operating Fund,NaN
131505,Professional Salaries,Athletics and Related,NaN,ATHL TRAINER,NaN,General,School,1,Cocurricular & Extra Curricular Activities,NaN,NaN,5.75E+04,NaN,NaN,Athletics,NaN
105379,Overtime *,NaN,Regular Instruction,NaN,NaN,Non-Certificated Salaries And Wages,NaN,NaN,Elementary,NaN,NaN,-9.57E+01,NaN,NaN,Title I - Disadvantaged Children/Targeted Assistance,TITLE I SCHOOLWIDE
72041,Substitute Teachers,Basic Educational Services,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,Instruction,NaN,NaN,2.08E+04,NaN,NaN,General Fund,NaN
369646,Extra Duty/Signing Bonus Pay,Undistributed,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,Curriculum & Instructional Staff Development,NaN,NaN,1.01E+03,NaN,NaN,General Fund,NaN
241620,General Supplies,Prekindergarten,NaN,NaN,NaN,Pre-K Tuition,School,NaN,Instruction,NaN,NaN,7.49E+02,NaN,NaN,General Fund,NaN
375733,NaN,Accelerated Education,NaN,NaN,NaN,Cycle  (used for grants),School,NaN,Community Services,NaN,NaN,3.92E+02,NaN,NaN,Century Community Learning,NaN
224022,Professional Salaries,Bilingual Education,NaN,T-EL KIN ESL,NaN,General,School,1,Instruction,NaN,NaN,5.30E+04,NaN,NaN,General Fund,NaN
313976,ADDITIONAL/EXTRA DUTY PAY/STIP,INSTRUCTIONAL STAFF TRAINING,FEDERAL GDPG FUND - FY,"Teacher, Secondary (High)",NaN,NaN,MATH / SCIENCE,NaN,TITLE II-PART A-TEACHER QUALIT,PROFESSIONAL-INSTRUCTIONAL,NaN,1.42E+02,MATH/SCIENCE,n/a,NaN,INSTRUCTIONAL STAFF
143931,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Elementary",NaN,NaN,NaN,NaN,NON-PROJECT,UNDESIGNATED,NaN,-9.37E+02,NaN,n/a,NaN,EMPLOYEE BENEFITS
266680,Professional Dues,Undistributed,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,School Leadership,NaN,NaN,5.00E+02,NaN,NaN,General Fund,NaN
115303,Reproduction Services,Accelerated Education,NaN,NaN,NaN,Cycle  (used for grants),School,NaN,Community Services,NaN,NaN,1.00E+02,NaN,NaN,Century Community Learning,NaN
381322,Regular *,NaN,Support Services--Pupils,"TCHR, SPEECH/HEAR THERAP",NaN,Certificated Employees Salaries And Wages,SR OTH CERTIFICATED PERSON,0.4,Speech Pathology Services,NaN,NaN,3.89E+04,TEACHERSUP,NaN,General,SPEECH CORRECTION
340676,Salaries for Support Personnel,Accelerated Education,NaN,NaN,NaN,Stud Support,School,NaN,Instruction,NaN,NaN,2.10E-01,NaN,NaN,General Fund,NaN
77886,General Supplies,Basic Educational Services,NaN,NaN,NaN,Science,School,NaN,Instruction,NaN,NaN,9.97E+01,NaN,NaN,General Fund,NaN
421686,Professional Salaries,Bilingual Education,NaN,T-EL 5TH ESL,NaN,General,School,1,Instruction,NaN,NaN,6.03E+04,NaN,NaN,General Fund,NaN
206382,BOOKS AND PERIODICALS,ENGLISH LANGUAGE ARTS,MILL LEVY,(blank),NaN,NaN,NaN,NaN,TEXTBOOKS FOR,UNDESIGNATED,NaN,1.48E+01,NaN,Regular,NaN,REGULAR INSTRUCTION
279567,Professional Salaries,Special Education,NaN,T-HS/SE LAN ART,NaN,General,School,1,Instruction,NaN,NaN,5.62E+04,NaN,NaN,General Fund,NaN
429394,Professional Salaries,Basic Educational Services,NaN,T-EL ART,NaN,General,School,1,Instruction,NaN,NaN,5.34E+04,NaN,NaN,General Fund,NaN
365676,SALARIES OF PART TIME EMPLOYEE,SUPPORT SERVICES-SCHOOL ADMIN,ARRA - STIMULUS,Clerical Spec Assgmt Summer,NaN,NaN,SUMMER SCHOOL - HIGH SCHOOLS,0.028636,TITLE I A - ARRA,PROFESSIONAL-OTHER,NaN,8.65E+02,NaN,n/a,NaN,SCHOOL ADMINISTRATION
37594,Substitute Teachers,Basic Educational Services,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,5.50E+04,NaN,NaN,General Fund,NaN
276318,Professional Salaries,Undistributed,NaN,ELEM PRINCIPAL,NaN,General,School,1,School Leadership,NaN,NaN,1.00E+05,NaN,NaN,General Fund,NaN
312862,EMPLOYEE BENEFITS,SPECIAL EDUCATION-S/L-MAST,FEDERAL GDPG FUND - FY,Speech Language Pathologst,NaN,NaN,SPECIAL EDUCATION,NaN,TITLE VI-IDEA B-MAIN,PROFESSIONAL-INSTRUCTIONAL,NaN,4.62E+02,NaN,n/a,NaN,SPECIAL EDUCATION
155779,Professional Salaries,Accelerated Education,NaN,T-EL LIT COACH,NaN,Reading Literacy,NaN,0.5,Instruction,NaN,NaN,2.71E+04,NaN,NaN,General Fund,NaN
4282,Professional Salaries,Special Education,NaN,T-MS/SE INCLUS,NaN,General,School,1,Instruction,NaN,NaN,5.89E+04,NaN,NaN,General Fund,NaN
149806,SUPPLIES,HIGH SCHOOL GENERAL EDUCATION PROGRAM 9-12,HIGH SCHOOL GENERAL ED PROGRAM 9-12,NaN,NaN,NaN,NaN,NaN,INSTRUCTION,NaN,NaN,1.99E+02,NaN,NaN,General Fund,NaN
285415,Equipment Maintenance Repairs,Undistributed,NaN,NaN,NaN,General,Human Resources,NaN,General Administration,NaN,NaN,3.00E+03,NaN,NaN,General Fund,NaN
378795,Field Trips,Undistributed,NaN,NaN,NaN,Cheerleading,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,3.50E+02,NaN,NaN,General Fund,NaN
110712,PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COMPUTE,PRIMARY GRADES PROGRAM,PRIMARY GRADES PROGRAM,NaN,NaN,NaN,NaN,NaN,INSTRUCTION,NaN,NaN,2.61E+03,NaN,NaN,General Fund,NaN
419203,General Supplies,Special Education,NaN,NaN,NaN,Special Education,School,NaN,Instruction,NaN,NaN,1.40E+02,NaN,NaN,IDEA-B Formula,NaN
233859,SALARIES OF REGULAR EMPLOYEES,GENERAL K-8 EDUCATION,GENERAL FUND,"Teacher, Elementary",NaN,NaN,NaN,0.833358,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,5.82E+04,NaN,Regular,NaN,REGULAR INSTRUCTION
295382,INTEREST,Misc,DEBT SERVICE,NaN,NaN,NaN,ADMIN. SERVICES,NaN,DEBT SERVICES,NaN,NaN,2.65E+06,NaN,NaN,Debt Service Fund,NaN
132860,Salaries for Support Personnel,Undistributed,NaN,FOOD PROD SP I,NaN,General,School,0.78125,Food Services,NaN,NaN,1.88E+04,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
439062,EMPLOYEE BENEFITS,INSTRUCTIONAL STAFF TRAINING,FEDERAL GDPG FUND - FY,Administrators,NaN,NaN,LEADERSHIP DEVELOPMENT,NaN,SECONDARY TEACHER ENHANCEMENT,ADMINISTRATOR,NaN,2.41E+01,NaN,n/a,NaN,INSTRUCTIONAL STAFF
357497,Professional Salaries,Special Education,NaN,SPEECH PATH,NaN,Speech Therapist,School,0.5,Instruction,NaN,NaN,2.91E+04,NaN,NaN,IDEA-B Preschool,NaN
54246,Professional Salaries,State Comp.Ed.-Support Title I Campuses,NaN,T-EL 5TH BIL,NaN,General,School,1,Instruction,NaN,NaN,5.50E+04,NaN,NaN,Title I- Part A,NaN
335298,Capital Assets - Locally Defined Groupings,Undistributed,NaN,NaN,Vocational,Capital Assets - Locally Defined Groupings,School,NaN,Facilities Acquisition And Construction,NaN,NaN,1.41E+06,NaN,NaN,Capital Projects Fund,NaN
22230,NaN,Misc,NaN,School Data Clerk,NaN,NaN,NaN,1,NaN,DATA CLERK,NaN,6.23E+04,NaN,NaN,General Fund,NaN
351894,Salaries for Support Personnel,Undistributed,NaN,PAYROLL SP III,NaN,General,Finance,1,General Administration,NaN,NaN,5.50E+04,NaN,NaN,General Fund,NaN
340682,USDA Donated Commodities,Undistributed,NaN,NaN,NaN,General,School,NaN,Food Services,NaN,NaN,3.20E+03,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
230411,Professional Salaries,Accelerated Education,NaN,T-HS,NaN,General,Learning Support Services,1,"Guidance, Counseling and Evaluation Services",NaN,NaN,5.50E+04,NaN,NaN,General Fund,NaN
64892,Professional Salaries,Undistributed,NaN,ADM SUP- MATH,NaN,General,Math,1,Instructional Leadership,NaN,NaN,8.43E+04,NaN,NaN,General Fund,NaN
190316,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Elementary",NaN,NaN,NaN,NaN,EXT DAY TUITION PAID KINDERGAR,PROFESSIONAL-INSTRUCTIONAL,NaN,5.13E+02,NaN,Regular,NaN,REGULAR INSTRUCTION
249857,Other Travel/Meeting Expense,NaN,Community Services,NaN,NaN,Travel Mileage/Meeting Expense *,NaN,NaN,Other Community Services *,NaN,NaN,-1.50E+02,NaN,NaN,Title I - Disadvantaged Children/Targeted Assistance,TITLE I - PARENT INVOLVEM
66405,Professional Salaries,Special Education,NaN,T-HS/SE SCORES,NaN,General,School,1,Instruction,NaN,NaN,5.35E+04,NaN,NaN,General Fund,NaN
363384,General Supplies,Accelerated Education,NaN,NaN,NaN,Support MS Struggler Learners,Assoc Superintendent-Area,NaN,Instruction,NaN,NaN,3.28E+05,NaN,NaN,General Fund,NaN
53350,NaN,NaN,"SUMMER ED, ARTS & SPORTS - SEAS",Aide (Afterschool),NaN,NaN,OFC COM & ED PROG-AFTER SCHOOL AIDES,0.025,NaN,NaN,NaN,1.03E+03,AFTERSCHOOL PROGRAMS,NaN,NaN,NaN
160737,Salaries for Support Personnel,Undistributed,NaN,A/C MECH III,NaN,General,Service Center Bldg & Grounds,1,Plant Maintenance & Operations,NaN,NaN,4.80E+04,NaN,NaN,General Fund,NaN
310773,Subs for Support Personnel,Undistributed,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,School Leadership,NaN,NaN,2.18E+02,NaN,NaN,General Fund,NaN
385598,SALARIES OF PART TIME EMPLOYEE,GENERAL ELEMENTARY EDUCATION,FEDERAL GDPG FUND - FY,Reading & Writing Asst,NaN,NaN,NaN,0.103385,TITLE I,PARAPROFESSIONAL,NaN,1.68E+03,NaN,Regular,NaN,REGULAR INSTRUCTION
438672,BONUSES,NaN,NaN,BUS DRIVER,NaN,NaN,TRANSPORTATION,0,PUPIL TRANSPORTATION SERVICES,NaN,NaN,7.48E+01,NaN,NaN,GENERAL FUND,NaN
95167,Salaries for Support Personnel,Undistributed,NaN,FOOD PROD SP I,NaN,General,School,0.5,Food Services,NaN,NaN,1.20E+04,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
267153,Salaries for Support Personnel,Undistributed,NaN,CUSTODIAN I,NaN,General,School,1,Plant Maintenance & Operations,NaN,NaN,2.90E+04,NaN,NaN,General Fund,NaN
416736,Extra Duty/Signing Bonus Pay,Athletics and Related,NaN,"ASST COACH,VFB",NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,6.46E+03,NaN,NaN,Athletics,NaN
5165,Professional Services,Undistributed,NaN,NaN,NaN,General,"School, Family and Community Education",NaN,Instructional Leadership,NaN,NaN,-6.10E-01,NaN,NaN,American Indian Educ. Proj.,NaN
363754,Reading Materials including Library Books,Undistributed,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,Curriculum & Instructional Staff Development,NaN,NaN,9.99E+02,NaN,NaN,General Fund,NaN
87700,SALARIES OF REGULAR EMPLOYEES,GENERAL MIDDLE/JUNIOR HIGH SCH,GENERAL FUND,Teacher Secondary (Middle),NaN,NaN,NaN,1.000023,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,7.47E+04,NaN,Turnaround,NaN,REGULAR INSTRUCTION
46832,ADDITIONAL/EXTRA DUTY PAY/STIP,INSTRUCTIONAL STAFF TRAINING,GENERAL FUND,Teacher Secondary (Middle),NaN,NaN,NaN,NaN,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,4.88E+01,NaN,Regular,NaN,INSTRUCTIONAL STAFF
250088,Non Food,Undistributed,NaN,NaN,NaN,Warehouse Operations,School,NaN,Food Services,NaN,NaN,1.54E+03,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
437438,Regular *,NaN,Support Services - Instructional Staff,PARA (ED),NaN,NaN,SR CLASSIFIED SLRY/HRLY/DA,1,Classroom Support - Special Education Aides *,NaN,NaN,4.56E+04,PARAPROF,NaN,"IDEA, Part B Special Education, Education of Handicapped Children",IDEA B
38113,Food,Undistributed,NaN,NaN,NaN,General,School,NaN,Food Services,NaN,NaN,4.86E+04,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
421042,Professional Salaries,Basic Educational Services,NaN,MATH,NaN,General,School,1,Instruction,NaN,NaN,5.41E+04,NaN,NaN,General Fund,NaN
126906,Salaries for Support Personnel,Undistributed,NaN,ACCTG TECH I,NaN,General,Medicaid,1,General Administration,NaN,NaN,4.94E+04,NaN,NaN,Medicaid,NaN
371675,Extra Duty/Signing Bonus Pay,Undistributed,NaN,NaN,NaN,General,Assoc Superintendent-Area  Elementary,NaN,Instructional Leadership,NaN,NaN,1.09E+03,NaN,NaN,General Fund,NaN
281459,Salaries for Support Personnel,Undistributed,NaN,ELCTRN TECH III,NaN,General,Service Center Bldg & Grounds,1,Plant Maintenance & Operations,NaN,NaN,5.16E+04,NaN,NaN,General Fund,NaN
428549,Professional Salaries,Prekindergarten,NaN,T-EL PK BIL,NaN,Pre-K,School,1,Instruction,NaN,NaN,5.30E+04,NaN,NaN,General Fund,NaN
243388,Extra Duty/Signing Bonus Pay,Accelerated Education,NaN,NaN,NaN,After-School Detention,School,NaN,School Leadership,NaN,NaN,1.27E+03,NaN,NaN,General Fund,NaN
46518,Salaries And Wages For Substitute Professionals,Accelerated Education,"""Title  Part A Improving Basic Programs""",TEACHER SUBSTITUTE POOL,Instruction And Curriculum,Extra Substitute Teachers Grant Funded,Undistributed,NaN,Curriculum Development And Instructional Staff Dev,CERTIFIED SUBSTITUTE,Multilingual Dist Prof Development,9.20E+01,NaN,NaN,"""Title  Part A Improving Basic Programs""",MISCELLANEOUS
259254,Extra Duty/Overtime,Special Education,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,-4.90E-01,NaN,NaN,General Fund,NaN
118739,Professional Salaries,Bilingual Education,NaN,T-EL 3RD BIL,NaN,General,School,1,Instruction,NaN,NaN,5.62E+04,NaN,NaN,General Fund,NaN
89067,Professional Salaries,Special Education,NaN,T-EL/SE EC BIL,NaN,General,School,1,Instruction,NaN,NaN,5.37E+04,NaN,NaN,General Fund,NaN
64389,SOFTWARE SUBSCRIPTIONS,NaN,NaN,NaN,NaN,NaN,HUMAN RESOURCES,NaN,STAFF SERVICES,NaN,NaN,2.29E+04,NaN,NaN,GENERAL FUND,HUMAN RESOURCES
240398,Professional Salaries,Bilingual Education,NaN,T-EL 4TH ESL,NaN,General,School,1,Instruction,NaN,NaN,6.39E+04,NaN,NaN,General Fund,NaN
366305,General Supplies,Special Education,NaN,NaN,NaN,Special Education,School,NaN,Instruction,NaN,NaN,3.41E+02,NaN,NaN,IDEA-B Formula,NaN
178911,Professional Salaries,Undistributed,NaN,ELEM PRINCIPAL,NaN,General,School,1,School Leadership,NaN,NaN,1.00E+05,NaN,NaN,General Fund,NaN
75080,Salaries And Wages For Teachers And Other Professi,Basic Educational Services,Operations,NINTH GRADE SPECIALIST,Virtual School,Extra Duty Wages,School,NaN,Instruction,TEACHER BACHELOR,Basic Educational Services - District Objective,2.09E+02,NaN,NaN,General Operating Fund,EXTENDED DAYS
3386,Salaries for Support Personnel,Undistributed,NaN,FOOD PROD SP V,NaN,General,School,0.875,Food Services,NaN,NaN,2.55E+04,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
13083,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION,DISTRICT SPECIAL REVENUE FUNDS,Classified Personnel,NaN,NaN,NaN,NaN,MISCELLANEOUS DONATIONS,PARAPROFESSIONAL,NaN,1.22E+02,NaN,Regular,NaN,REGULAR INSTRUCTION
25299,Professional Salaries,Basic Educational Services,NaN,T-EL 3RD,NaN,General,School,1,Instruction,NaN,NaN,5.49E+04,NaN,NaN,General Fund,NaN
299270,Extra Duty/Signing Bonus Pay,Athletics and Related,NaN,MS ATHLETIC COR,NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,1.30E+03,NaN,NaN,Athletics,NaN
128397,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION,DISTRICT SPECIAL REVENUE FUNDS,General Assignment,NaN,NaN,NaN,NaN,MONTESSORI TUITION BASED,PARAPROFESSIONAL,NaN,3.01E+03,NaN,Regular,NaN,REGULAR INSTRUCTION
265915,Salaries for Support Personnel,NaN,NaN,Programmer Analyst IV,NaN,NaN,Management Info System,1,NaN,NaN,NaN,8.49E+04,NaN,NaN,General Fund,NaN
254196,Professional Salaries,Basic Educational Services,NaN,T-HS SPANISH,NaN,General,School,1,Instruction,NaN,NaN,5.41E+04,NaN,NaN,General Fund,NaN
49843,Salaries And Wages For Substitute Professionals,Bilingual Education And Special Language Programs,Operations,TEACHER SUBSTITUTE POOL,All Campus Payroll,Salaries And Wages For Substitute Teachers,School,NaN,Instruction,DEGREED SUBSTITUTE,NaN,9.46E+01,NaN,NaN,General Operating Fund,REGULAR PAY
312418,Personal Services - Substitute Teachers Certified,Instruction - SPED,NaN,NaN,NaN,NaN,NaN,0,NaN,SUBSTITUTE TEACHER,Special Education Instruction,7.03E+01,NaN,NaN,General Purpose School,NaN
365988,SALARIES OF REGULAR EMPLOYEES,PSYCHOLOGICAL SERVICES,GENERAL FUND,Psychologist,NaN,NaN,PSYCHOLOGICAL SERVICES,0.225007,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,2.14E+04,PSYCHOLOGICAL SERVICES,n/a,NaN,STUDENTS
374144,OTHER PERSONAL SERVICES,NaN,NaN,SUB TEACHER ALL,INSTRUCTIONAL TECHNOLOGY,NaN,EXEC DIR INFO/INSTRUC TECH SER,0,INST STAFF TRAINING SVCS,NaN,NaN,8.18E+01,NaN,NaN,GENERAL FUND,EXEC DIR OF IT
35325,Salaries And Wages For Teachers And Other Professi,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",SKILLS SPECIALIST,Instruction And Curriculum,Extended Year,Summer School,NaN,Instruction,TEACHER MASTER,NaN,1.46E+03,NaN,NaN,"""Title  Part A Improving Basic Programs""",EXTENDED YEAR
65619,General Supplies,Accelerated Education,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,Instruction,NaN,NaN,5.67E+03,NaN,NaN,General Fund,NaN
159497,General Supplies,Services To Students With Disabilities (Special Education),NaN,NaN,Instruction And Curriculum,Capital Supplies ( Unit Cost  and >,School,NaN,"""Guidance, Counseling And Evaluation Services""",NaN,"Comp to write assessment reports, TBA's, core tests, ARD",9.78E+02,SUPPLIES & MATERIALS,NaN,Idea Part B Formula,NaN
122228,Professional Salaries,Basic Educational Services,NaN,MATH,NaN,General,School,1,Instruction,NaN,NaN,5.34E+04,NaN,NaN,General Fund,NaN
42299,SALARIES OF PART TIME EMPLOYEE,MALE ATHLETICS/SPORTS ACTIVITI,PUPIL ACTIVITY FUND,Misc Fee Basis,NaN,NaN,ATHLETICS & STUDENT ACTIVITIES,NaN,NON-PROJECT,OFFICE/ADMINISTRATIVE SUPPORT,NaN,8.26E+01,ATHLETICS,n/a,NaN,COCURRICULAR ED/ACTIVITIES
300308,Salaries for Support Personnel,Undistributed,NaN,FOOD PROD SP V,NaN,General,School,0.84375,Food Services,NaN,NaN,2.36E+04,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
103309,Salaries for Support Personnel,Undistributed,NaN,PUBLIC AFF SPEC,NaN,General,Office of Planning and Community Relations,1,General Administration,NaN,NaN,5.91E+04,NaN,NaN,General Fund,NaN
169733,Employee Allowance,Undistributed,NaN,TRAVEL,NaN,General,School,NaN,School Leadership,NaN,NaN,5.52E+02,NaN,NaN,General Fund,NaN
