,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
274590,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Substitute Professionals,NaN,Operations,TEACHER SUBSTITUTE POOL,NaN,NaN,Salaries And Wages For Substitute Teachers,School,NaN,Instruction,All Campus Payroll,CERTIFIED SUBSTITUTE,6.98E+02,Bilingual Education And Special Language Programs,General Operating Fund,REGULAR PAY
274918,Food Services,O&M,School Reported,School,Unspecified,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,OTHER SUPPORT PERSONNEL,NaN,NaN,"MANAGER III, FOOD SERVICE",NaN,NaN,NaN,School,1,FOOD SERVICE,NaN,NaN,4.23E+04,NaN,FOOD SERVICES,NaN
275099,Development & Fundraising,Business Services,Leadership & Management,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,OTHER SUPPORT PERSONNEL,NaN,NaN,GRANTS SPECIALIST,NaN,NaN,NaN,GRANT SERVICES,0.1814,"PLANNING,RES,DEV,& EVAL",NaN,NaN,1.64E+04,NaN,GENERAL FUND,NaN
275336,Extended Time & Tutoring,Instruction,School Reported,School,Poverty,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,NaN,Title  Part A Improving Basic Programs,"TEACHER, REGULAR",NaN,NaN,Extended Day,School,NaN,Instruction,Instruction And Curriculum,TEACHER BACHELOR,1.57E+02,"Title I, Part A Schoolwide Activities Related To State Comp",Title  Part A Improving Basic Programs,EXTENDED DAYS
276037,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Physical Therapist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,SPEECH & LANGUAGE,GENERAL FUND,Physical Therapist,n/a,NaN,NaN,SPECIAL EDUCATION,0.198918,SPECIAL EDUCATION - ITINERANT,NaN,PROFESSIONAL-INSTRUCTIONAL,1.92E+04,SPECIAL EDUCATION-PT,NaN,SPECIAL EDUCATION
276394,Governance,Leadership,Leadership & Management,Non-School,Unspecified,Non-Position,Other Non-Compensation,NO_LABEL,PreK-12 Operating,MISCELLANEOUS EXPENDITURES,OFFICE OF THE SUPERINTENDENT,DISTRICT SPECIAL REVENUE FUNDS,(blank),n/a,NaN,NaN,SUPERINTENDENT OF SCHOOLS,NaN,PEPSI GRANT,NaN,UNDESIGNATED,1.56E+04,OFFICE OF THE SUPERINTENDENT,NaN,GENERAL ADMINISTRATION
278491,Physical Health & Services,Pupil Services & Enrichment,School Reported,School,Unspecified,Nurse,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,NaN,GENERAL FUND,Nurse,n/a,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,UNDESIGNATED,-9.72E+02,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
278634,Development & Fundraising,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,NON-CAPITALIZED COMPUTER HARDW,NaN,NaN,NaN,NaN,NaN,NaN,EDUC FOUNDATION DIRECTOR,NaN,"PLANNING,RES,DEV,& EVAL",NaN,NaN,2.33E+03,NaN,GENERAL FUND,EDUC FOUNDATION DIRECTOR
278671,School Administration,Leadership,School Reported,School,Unspecified,Vice Principal,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,NaN,GENERAL FUND,"Principal, Asst Middle Sch",Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,ADMINISTRATOR,4.55E+03,SUPPORT SERVICES-SCHOOL ADMIN,NaN,SCHOOL ADMINISTRATION
278855,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,NaN,GENERAL FUND,Custodial Helper - Day,n/a,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,UNDESIGNATED,-1.79E+00,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
279059,School Supervision,NO_LABEL,NO_LABEL,Non-School,NO_LABEL,Substitute,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ADMIN. SERVICES,NaN,NaN,NaN,NaN,1.00E+03,NaN,NaN,NaN
279125,Untracked Budget Set-Aside,Untracked Budget Set-Aside,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,WORKERS' COMPENSATION,NaN,NaN,SUB TEACHER ALL,NaN,NaN,NaN,School,0,INST STAFF TRAINING SVCS,NaN,NaN,7.70E-01,FDLRS,GENERAL FUND,NATIONAL LITERACY PROJECT
279921,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12",Personal Services - Other Personnel,NaN,NaN,SECRETARY ADMIN,NaN,Adult Education,NaN,NaN,0,NaN,NaN,ADM SECRETARY,8.73E+03,Instruction - Regular,School Federal Projects,ADULT EDUCATION
280145,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Speech Therapist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,NaN,FEDERAL GDPG FUND - FY,Speech Language Pathologst,n/a,NaN,NaN,SPECIAL EDUCATION,0.200014,TITLE VI-IDEA B-MAIN,NaN,PROFESSIONAL-INSTRUCTIONAL,1.20E+04,SPECIAL ED-S/L-CHILD FIND,NaN,SPECIAL EDUCATION
280335,Aides Compensation,Instruction,School Reported,School,PreK,TA,Base Salary/Compensation,PreK,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,NaN,DISTRICT SPECIAL REVENUE FUNDS,Early Childhood Education,Regular,NaN,NaN,NaN,0.396429,MONTESSORI TUITION BASED,NaN,PARAPROFESSIONAL,6.29E+03,GENERAL ELEMENTARY EDUCATION,NaN,REGULAR INSTRUCTION
280692,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Custodians,NaN,NaN,CUSTODIAN,NaN,Operation of Plant,NaN,NaN,1,NaN,NaN,CUSTODIAN,2.62E+04,Operations,General Purpose School,NaN
280693,Facilities & Maintenance,O&M,Shared Services,Non-School,Unspecified,Non-Position,Contracted Services,Non PreK,PreK-12 Operating,Garbage Removal and Cleaning Services,NaN,Operation and Maintenance of Plant Services,NaN,NaN,NaN,Property Services (Other Than Utilities) *,NaN,NaN,Care and Upkeep of Building Services,NaN,NaN,1.64E+05,NaN,General,FACILITIES ADMINISTRATION
281448,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Non-Position,Other Non-Compensation,NO_LABEL,PreK-12 Operating,TRANSPORTATION/FIELD TRIPS,NaN,FEDERAL GDPG FUND - FY,(blank),Regular,NaN,NaN,NaN,NaN,COMMUNITY DEVELOPMENT BLOCK,NaN,UNDESIGNATED,2.00E+02,GENERAL MIDDLE/JUNIOR HIGH SCH,NaN,REGULAR INSTRUCTION
281655,Physical Health & Services,Pupil Services & Enrichment,Shared Services,Non-School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,GENERAL SUPPLIES,SCHOOL NURSE SERVICES,DISTRICT SPECIAL REVENUE FUNDS,(blank),n/a,NaN,NaN,SCHOOL NURSE SERVICES,NaN,WELLNESS COORDINATOR,NaN,UNDESIGNATED,4.32E+02,OTHER GENERAL EDUCATION,NaN,REGULAR INSTRUCTION
282357,Development & Fundraising,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,NON-CAPITALIZED  EQUIP,NaN,NaN,NaN,NaN,NaN,NaN,EDUC FOUNDATION DIRECTOR,NaN,"PLANNING,RES,DEV,& EVAL",NaN,NaN,1.01E+02,NaN,GENERAL FUND,EDUC FOUNDATION DIRECTOR
282376,Teacher Compensation,Instruction,School Reported,School,PreK,Teacher,Benefits,PreK,PreK-12 Operating,EMPLOYEE BENEFITS,NaN,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Elementary",Regular,NaN,NaN,NaN,NaN,TUITION BASED - ECE,NaN,PROFESSIONAL-INSTRUCTIONAL,2.46E+02,EARLY CHILDHOOD,NaN,REGULAR INSTRUCTION
282586,Professional Development,ISPD,Leadership & Management,Non-School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,WORKSHOP PARTICIPANT,NaN,NaN,"TEACHER, COMPUTER ED-E",NaN,NaN,NaN,CHIEF ACADEMIC OFFICER,NaN,INST STAFF TRAINING SVCS,USING DATA HUMAN CAPITAL DECIS,NaN,5.19E+02,COMMON CORE STATE STANDARDS,ARRA - RACE TO THE TOP,RACE TO THE TOP
282671,Parent & Community Relations,Pupil Services & Enrichment,School Reported,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,NaN,GENERAL FUND,School Community Liaison,Turnaround,NaN,NaN,NaN,0.66283,NON-PROJECT,NaN,PROFESSIONAL-OTHER,2.18E+04,GENERAL HIGH SCHOOL EDUCATION,NaN,REGULAR INSTRUCTION
282906,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Physical Therapist,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,NaN,FEDERAL GDPG FUND - FY,Occ/Physical Therapist Tech,n/a,NaN,NaN,SPECIAL EDUCATION,NaN,TITLE VI-IDEA B-MAIN,NaN,PARAPROFESSIONAL,3.01E+03,SPECIAL EDUCATION,NaN,SPECIAL EDUCATION
283141,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Poverty,Social Worker,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Other Personnel,NaN,NaN,NaN,NaN,Title I - Supervisors,NaN,NaN,0,NaN,NaN,Para Professional Social Worke,4.18E+03,Support - Regular Instruction,School Federal Projects,ESEA TITLE I DISADVANTAGED
283215,Parent & Community Relations,Pupil Services & Enrichment,Shared Services,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,NaN,GENERAL FUND,Community School Child Care,n/a,NaN,NaN,COMMUNITY EDUCATION,NaN,EMPLOYEE RETIREMENT,NaN,UNDESIGNATED,9.00E+01,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
283808,Career & Academic Counseling,Pupil Services & Enrichment,School Reported,School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,GENERAL SUPPLIES,NaN,GENERAL FUND,(blank),Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,UNDESIGNATED,2.22E+03,COUNSELING - CAREER,NaN,COCURRICULAR ED/ACTIVITIES
284552,Physical Health & Services,NO_LABEL,School Reported,School,NO_LABEL,Physical Therapist,NO_LABEL,NO_LABEL,PreK-12 Operating,NaN,NaN,NaN,Physical Therapist,NaN,NaN,NaN,NaN,0.2,NaN,NaN,PHYSICAL THERAPIST,1.59E+04,SPECIAL EDUCATION CATEGORY V,General Fund,NaN
284677,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Supplemental Textbooks,NaN,Special Instruction,NaN,NaN,NaN,Textbooks *,NaN,NaN,Disadvantaged Youth *,NaN,NaN,-1.58E+03,NaN,Title I - Disadvantaged Children/Targeted Assistance,TITLE  SCHOOLWIDE
285110,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,NaN,GENERAL FUND,Secretary I,n/a,NaN,NaN,NaN,NaN,EMPLOYEE RETIREMENT,NaN,UNDESIGNATED,3.56E+02,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
285176,Professional Development,ISPD,School Reported,School,Poverty,Instructional Coach,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,NaN,Title  Part A Improving Basic Programs,"SKILLS SPECIALIST, ADITIONAL",NaN,NaN,Extended Day,School,NaN,Instruction,Instruction And Curriculum,TEACHER BACHELOR,2.09E+02,"Title I, Part A Schoolwide Activities Related To State Comp",Title  Part A Improving Basic Programs,EXTENDED DAYS
285242,Professional Development,ISPD,Shared Services,Non-School,Special Education,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,NaN,ARRA - STIMULUS,"Teacher, Short Term Sub",n/a,NaN,NaN,SPECIAL EDUCATION,0.00431,IDEA ARRA,NaN,PROFESSIONAL-INSTRUCTIONAL,1.10E+02,INSTRUCTIONAL STAFF TRAINING,NaN,INSTRUCTIONAL STAFF
285365,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,NaN,GENERAL EDUCATION,LOCAL,Teacher,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,9.19E+04,NaN,NaN,NaN
285838,Facilities & Maintenance,O&M,Shared Services,Non-School,NO_LABEL,Custodian,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,CUSTODIAL-SCHOOLS,GENERAL FUND,Custodial Helper - Day,New/Closed Schl,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,"CRAFTS, TRADES, AND SERVICES",4.45E+02,CARE & UPKEEP OF BLDG SERVICES,NaN,OPERATION AND MAINT OF PLANT
285885,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,TRANSPORTATION,GENERAL FUND,Special Needs Bus Asst,n/a,NaN,NaN,GARAGE,NaN,NON-PROJECT,NaN,PARAPROFESSIONAL,6.02E+02,TRANSPORTATION-OPERATIONS,NaN,STUDENT TRANSPORTATION
285932,Enrichment,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,NaN,AFTERSCHOOL PROGRAMS,"SUMMER ED, ARTS & SPORTS - SEAS",Aide (Afterschool),NaN,NaN,NaN,OFC COM & ED PROG-AFTER SCHOOL AIDES,0.025,NaN,NaN,NaN,9.23E+02,NaN,NaN,NaN
286096,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12",OTHER SUPPORT PERSONNEL,NaN,NaN,CUSTODIAN,NaN,NaN,NaN,CHARTER,1,OPERATION OF PLANT,NaN,NaN,2.88E+04,NaN,CONVERSION CHARTER SCHOOLS,NaN
286435,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Payment for the Special Education of Students who Reside in the District*,NaN,Special Instruction,NaN,NaN,NaN,Tuition And Other Similar Payments,NaN,NaN,Other Special *,NaN,NaN,-9.00E-01,NaN,General,SPECIAL PROJECTS-FINANCIA
286736,Library & Media,Instruction,School Reported,School,Unspecified,Librarian,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,NaN,GENERAL FUND,Library Media Center,n/a,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,UNDESIGNATED,-9.55E+00,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
286989,Extended Time & Tutoring,Instruction,School Reported,School,At Risk,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,NaN,State Ed. Allotment,"TEACHER, REGULAR",NaN,Science Extended Day,Extended Day,School,NaN,Instruction,Special Programs,TEACHER BACHELOR,5.46E+02,"Title I, Part A Schoolwide Activities Related To State Comp",General Operating Fund,EXTENDED DAYS
287097,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Occupational Therapist,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,NaN,FEDERAL GDPG FUND - FY,Occupational Therapist,n/a,NaN,NaN,SPECIAL EDUCATION,NaN,TITLE VI-IDEA B-MAIN,NaN,PROFESSIONAL-INSTRUCTIONAL,2.32E+02,SPECIAL EDUCATION-OT,NaN,SPECIAL EDUCATION
287665,Physical Health & Services,Pupil Services & Enrichment,School Reported,School,Unspecified,Nurse,Base Salary/Compensation,PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,NaN,Operations,SCHOOL CLINIC ADMINISTRATION,NaN,NaN,Salaries And Wages For Teachers And Other Professi,School,0.03,Health Services,All Campus Payroll,NURSE,1.61E+03,PRE-K,General Operating Fund,REGULAR PAY
287893,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,NaN,GENERAL FUND,"Teacher, Elementary",n/a,NaN,NaN,PERSONNEL-PAID LEAVE,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,4.21E+01,STAFF SERVICES,NaN,CENTRAL
288163,Curriculum Development,ISPD,Shared Services,Non-School,Gifted,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,BOOKS AND PERIODICALS,GIFTED AND TALENTED,STATE AND LOCAL GDPG FUND,(blank),n/a,NaN,NaN,GIFTED AND TALENTED,NaN,STATE - GIFTED AND TALENTED,NaN,UNDESIGNATED,1.24E+04,INSTRUCTIONAL STAFF TRAINING,NaN,INSTRUCTIONAL STAFF
288258,Physical Health & Services,Pupil Services & Enrichment,School Reported,School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,"MEDICAL, SURGICAL AND LAB",HEALTH SERVICES,LOCAL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SUPPLIES AND MATERIALS,1.00E+03,STUDENT SUPPORT SERVICES,LOCAL FUND,NaN
288546,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,NaN,PRIMARY GRADES PROGRAM,NaN,NaN,NaN,NaN,NaN,NaN,INSTRUCTION,NaN,NaN,4.14E+02,PRIMARY GRADES PROGRAM,General Fund,NaN
288667,Physical Health & Services,NO_LABEL,School Reported,School,NO_LABEL,Nurse Aide,NO_LABEL,NO_LABEL,PreK-12 Operating,NaN,NaN,NaN,Clinic Assistant,NaN,NaN,NaN,NaN,1,NaN,NaN,CLINIC ASSISTANT,3.13E+04,NURSES,General Fund,NaN
289445,Recruitment,ISPD,Shared Services,Non-School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,GENERAL SUPPLIES,HUMAN RESOURCES RECRUITMENT,DISTRICT SPECIAL REVENUE FUNDS,(blank),n/a,NaN,NaN,HUMAN RESOURCES,NaN,NEW TEACHER RECRUITMENT,NaN,UNDESIGNATED,1.17E+02,SUPPORT SERVICES-INSTRUCTIONAL,NaN,INSTRUCTIONAL STAFF
289642,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TEACHER SUBS,GENERAL FUND,"Teacher,Retrd Shrt Term Sub",Regular,NaN,NaN,NaN,0.00431,UNALLOC BUDGETS/SCHOOLS,NaN,PROFESSIONAL-INSTRUCTIONAL,1.29E+02,GENERAL HIGH SCHOOL EDUCATION,NaN,REGULAR INSTRUCTION
290260,School Administration,Leadership,School Reported,School,Unspecified,Vice Principal,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Assistant Principals,NaN,NaN,ASSISTANT PRINCIPAL - MIDDLE,NaN,Office of Principal,NaN,NaN,1,NaN,NaN,ASST PRINCIPAL,7.91E+04,Principal's Office,General Purpose School,NaN
290905,Communications,Leadership,Leadership & Management,Non-School,Unspecified,Non-Position,Supplies/Materials,Non PreK,PreK-12 Operating,Office Supplies,NaN,Support Services - Central,NaN,NaN,NaN,General Supplies *,NaN,NaN,Public Information Services,NaN,NaN,1.90E+04,NaN,General,STRATEGIC COMMUNICATIONS
291776,Library & Media,Instruction,School Reported,School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,NaN,FEDERAL GDPG FUND - FY,Tech Prep Resource,Regular,NaN,NaN,NaN,NaN,CARL PERKINS,NaN,PARAPROFESSIONAL,1.28E+03,TECHNICAL ED/COMPUTER TECH,NaN,VOCATIONAL EDUCATION
293437,Enrichment,Pupil Services & Enrichment,Shared Services,Non-School,Unspecified,Other,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,NaN,Operations,"TRANSPORTATION,BUS DRIVERS,REG",NaN,NaN,Extra Duty Pay/Overtime For Support Personnel,Unallocated,NaN,Extracurricular Activities,Transportation Department,BUS DRIVER,2.82E+02,Undistributed,General Operating Fund,FIELD TRIPS
293743,Extended Time & Tutoring,Instruction,School Reported,School,ELL,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,NaN,Title Iii Part A - Lep,"TEACHER, REGULAR",NaN,NaN,Extended Day,School,NaN,Instruction,Instruction And Curriculum,TEACHER BACHELOR,3.35E+01,Bilingual Education And Special Language Programs,Title Iii Part A - Lep,EXTENDED DAYS
293747,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Supplies and Materials,NaN,Community Services,NaN,NaN,NaN,Supplies And Materials,NaN,NaN,Other Community Services *,NaN,NaN,7.89E+01,NaN,Title I - Disadvantaged Children/Targeted Assistance,ARRA PI/HOMELESS
293873,Facilities & Maintenance,NO_LABEL,Shared Services,Non-School,NO_LABEL,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating,REPAIR AND MAINTENANCE SERVICES,NaN,MISCELLANEOUS,NaN,NaN,NaN,NaN,ADMIN. SERVICES,NaN,MAINTENANCE AND OPERATING,NaN,NaN,-3.25E+03,Misc,General Fund,NaN
293911,Food Services,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating,PURCHASED FOOD,NaN,SCHOOL NUTRITION SERVICE,NaN,NaN,NaN,NaN,NaN,NaN,SCHOOL NUTRITION,NaN,NaN,1.28E+03,Misc,School Nutrition Service Fund,NaN
294066,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Software Materials,NaN,Support Services - Instructional Staff,NaN,NaN,NaN,General Supplies *,NaN,NaN,Instruction And Curriculum Development Services *,NaN,NaN,NaN,NaN,Special Trust,ITEMS FOUNDATION-NOV
294161,School Administration,Leadership,School Reported,School,Special Education,Vice Principal,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,NaN,Idea Part B Formula,SCHOOL PRINCIPAL,NaN,NaN,Extra Duty Wages,School,NaN,School Leadership,Instruction And Curriculum,ASST PRIN MIDDLE SCHOOL,2.92E+02,Services To Students With Disabilities (Special Education),Idea Part B Formula,EXTENDED DAYS
294199,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,CUSTODIAL-SCHOOLS,GENERAL FUND,Custodian-Part Time,Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,"CRAFTS, TRADES, AND SERVICES",2.50E+01,CARE & UPKEEP OF BLDG SERVICES,NaN,OPERATION AND MAINT OF PLANT
294518,Substitute Compensation,Instruction,School Reported,School,Unspecified,Teacher,Substitute Compensation,NO_LABEL,PreK-12 Operating,TEACHER COVERAGE FOR TEACHER,TEACHER SUBS,GENERAL FUND,"Teacher, Secondary (High)",Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,7.24E+01,GENERAL HIGH SCHOOL EDUCATION,NaN,REGULAR INSTRUCTION
294657,Physical Health & Services,Pupil Services & Enrichment,School Reported,School,Unspecified,Nurse,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,NaN,Operations,SCHOOL CLINIC ADMINISTRATION,NaN,Undistributed,Salaries And Wages For Teachers And Other Professi,School,1,Health Services,All Campus Payroll,NURSE,6.14E+04,Undistributed,General Operating Fund,REGULAR PAY
294734,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,NaN,INTELLECTUALLY GIFTED STUDENT,NaN,NaN,NaN,NaN,NaN,NaN,INSTRUCTION,NaN,NaN,5.25E+02,PROGRAM FOR INTELLECTUALLY GIFTED STUDENTS: CATEGORY VI,General Fund,NaN
295077,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,TEACHER SUBS,GENERAL FUND,"Teacher,Retrd Shrt Term Sub",Regular,NaN,NaN,NaN,NaN,UNALLOC BUDGETS/SCHOOLS,NaN,PROFESSIONAL-INSTRUCTIONAL,8.90E-01,GENERAL ELEMENTARY EDUCATION,NaN,REGULAR INSTRUCTION
295167,Security & Safety,O&M,School Reported,School,Unspecified,School Monitor/Security,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,NaN,High School,SECURITY OFFICER,NaN,NaN,Extra Duty Pay/Overtime For Support Personnel,School,NaN,Extracurricular Activities,NaN,POLICE PATROL MAN,1.72E+02,Undistributed,Student Activity Fund,OVERTIME
